vin_v,ron_ohm
0.000000000000000000e+00,2.000000000000000000e+02
3.673469389999999696e-02,2.000000000000000000e+02
7.346938779999999392e-02,2.000000000000000000e+02
1.102040819999999949e-01,2.000000000000000000e+02
1.469387759999999932e-01,2.000000000000000000e+02
1.836734690000000059e-01,2.000000000000000000e+02
2.204081629999999903e-01,2.000000000000000000e+02
2.571428570000000025e-01,2.000000000000000000e+02
2.938775510000000146e-01,2.000000000000000000e+02
3.306122450000000268e-01,2.000000000000000000e+02
3.673469389999999835e-01,2.000000000000000000e+02
4.040816329999999956e-01,2.000000000000000000e+02
4.408163270000000078e-01,2.000000000000000000e+02
4.775510199999999927e-01,2.000000000000000000e+02
5.142857140000000049e-01,2.000000000000000000e+02
5.510204079999999616e-01,2.000000000000000000e+02
5.877551020000000292e-01,2.000000000000000000e+02
6.244897959999999859e-01,2.000000000000000000e+02
6.612244900000000536e-01,2.000000000000000000e+02
6.979591840000000103e-01,2.000000000000000000e+02
7.346938779999999669e-01,2.000000000000000000e+02
7.714285709999999519e-01,2.000000000000000000e+02
8.081632650000000195e-01,2.000000000000000000e+02
8.448979589999999762e-01,2.000000000000000000e+02
8.816326530000000439e-01,2.000000000000000000e+02
9.183673470000000005e-01,2.000000000000000000e+02
9.551020409999999572e-01,2.000000000000000000e+02
9.918367350000000249e-01,2.000000000000000000e+02
1.028571429999999953e+00,2.000000000000000000e+02
1.065306120000000023e+00,2.000000000000000000e+02
1.102040820000000032e+00,2.000000000000000000e+02
1.138775510000000102e+00,2.000000000000000000e+02
1.175510199999999950e+00,2.000000000000000000e+02
1.212244899999999959e+00,2.000000000000000000e+02
1.248979590000000028e+00,2.000000000000000000e+02
1.285714290000000037e+00,2.000000000000000000e+02
1.322448980000000107e+00,2.000000000000000000e+02
1.359183669999999955e+00,2.000000000000000000e+02
1.395918369999999964e+00,2.000000000000000000e+02
1.432653060000000034e+00,2.000000000000000000e+02
1.469387760000000043e+00,2.000000000000000000e+02
1.506122449999999890e+00,2.000000000000000000e+02
1.542857139999999960e+00,2.000000000000000000e+02
1.579591839999999969e+00,2.000000000000000000e+02
1.616326530000000039e+00,2.000000000000000000e+02
1.653061220000000109e+00,2.000000000000000000e+02
1.689795919999999896e+00,2.000000000000000000e+02
1.726530609999999966e+00,2.000000000000000000e+02
1.763265309999999975e+00,2.000000000000000000e+02
