vin_v,ron_ohm
0.000000000000000000e+00,3.571428559999999834e+03
3.673469387755102372e-02,3.665139509999999973e+03
7.346938775510204744e-02,3.766493939999999839e+03
1.102040816326530781e-01,3.873609449999999924e+03
1.469387755102040949e-01,3.986991250000000036e+03
1.836734693877551117e-01,4.107205359999999928e+03
2.204081632653061562e-01,4.234888049999999566e+03
2.571428571428571730e-01,4.370757040000000416e+03
2.938775510204081898e-01,4.520295180000000073e+03
3.306122448979592066e-01,4.675572500000000218e+03
3.673469387755102233e-01,4.841897210000000086e+03
4.040816326530612401e-01,5.005107250000000022e+03
4.408163265306123124e-01,5.051119469999999637e+03
4.775510204081633292e-01,5.098416409999999814e+03
5.142857142857143460e-01,5.146607390000000123e+03
5.510204081632653628e-01,5.195717990000000100e+03
5.877551020408163795e-01,5.245774809999999889e+03
6.244897959183673963e-01,5.296805430000000342e+03
6.612244897959184131e-01,5.348838569999999891e+03
6.979591836734694299e-01,5.401904040000000350e+03
7.346938775510204467e-01,5.456032890000000407e+03
7.714285714285714635e-01,5.511257380000000012e+03
8.081632653061224802e-01,5.567611139999999978e+03
8.448979591836734970e-01,5.625129130000000259e+03
8.816326530612246248e-01,5.683847829999999703e+03
9.183673469387756416e-01,5.743805210000000443e+03
9.551020408163266584e-01,5.805040890000000218e+03
9.918367346938776752e-01,5.867596190000000206e+03
1.028571428571428692e+00,5.931514220000000023e+03
1.065306122448979709e+00,5.996839990000000398e+03
1.102040816326530726e+00,6.063620520000000397e+03
1.138775510204081742e+00,6.131904959999999846e+03
1.175510204081632759e+00,6.201744670000000042e+03
1.212244897959183776e+00,6.273193400000000111e+03
1.248979591836734793e+00,6.346307389999999941e+03
1.285714285714285809e+00,6.421145529999999781e+03
1.322448979591836826e+00,6.497769549999999981e+03
1.359183673469387843e+00,6.576244120000000294e+03
1.395918367346938860e+00,6.656637090000000171e+03
1.432653061224489877e+00,6.455862970000000132e+03
1.469387755102040893e+00,6.234096679999999651e+03
1.506122448979591910e+00,6.027060260000000198e+03
1.542857142857142927e+00,5.833333330000000387e+03
1.579591836734693944e+00,5.651672429999999622e+03
1.616326530612244960e+00,5.475668789999999717e+03
1.653061224489795977e+00,5.315451250000000073e+03
1.689795918367346994e+00,5.164334189999999580e+03
1.726530612244898011e+00,5.021564379999999801e+03
1.763265306122449250e+00,4.886469420000000355e+03
1.800000000000000044e+00,4.758447170000000369e+03
