frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.003312460360636728e-08
1.258925411794167282e+00,4.428943434997164662e-08
1.584893192461113598e+00,3.905505779853880518e-08
1.995262314968879735e+00,3.423978445848573074e-08
2.511886431509580131e+00,2.976168085540898077e-08
3.162277660168379523e+00,2.555521099291806734e-08
3.981071705534973137e+00,2.158442050983495244e-08
5.011872336272723771e+00,1.785676472347735956e-08
6.309573444801933384e+00,1.442660846300232219e-08
7.943282347242815788e+00,1.137740759730504966e-08
1.000000000000000000e+01,8.785935709282492862e-09
1.258925411794167459e+01,6.689626871889730197e-09
1.584893192461114175e+01,5.076330030149503708e-09
1.995262314968879735e+01,3.895666419931636652e-09
2.511886431509580930e+01,3.077150674950871754e-09
3.162277660168379256e+01,2.543382541359317174e-09
3.981071705534973404e+01,2.217652923223512372e-09
5.011872336272725192e+01,2.031045024978501160e-09
6.309573444801932851e+01,1.929433042792988493e-09
7.943282347242816854e+01,1.876002662977963110e-09
1.000000000000000000e+02,1.848502018033131469e-09
1.258925411794167530e+02,1.834518664829479340e-09
1.584893192461114211e+02,1.827455688351794494e-09
1.995262314968880730e+02,1.823900934867027415e-09
2.511886431509582280e+02,1.822115273197639882e-09
3.162277660168379612e+02,1.821219202633189477e-09
3.981071705534973262e+02,1.820769791656277188e-09
5.011872336272724624e+02,1.820544464696525568e-09
6.309573444801936830e+02,1.820431508600028654e-09
7.943282347242821970e+02,1.820374889189067964e-09
1.000000000000000000e+03,1.820346510139236820e-09
1.258925411794167530e+03,1.820332286293153583e-09
1.584893192461114040e+03,1.820325157295115062e-09
1.995262314968880901e+03,1.820321584275585934e-09
2.511886431509582053e+03,1.820319793506557657e-09
3.162277660168379498e+03,1.820318895990697382e-09
3.981071705534973262e+03,1.820318446165577903e-09
5.011872336272725079e+03,1.820318220718466858e-09
6.309573444801936603e+03,1.820318107727096102e-09
7.943282347242821743e+03,1.820318051097214732e-09
1.000000000000000000e+04,1.820318022715026021e-09
1.258925411794168758e+04,1.820318008490230363e-09
1.584893192461114086e+04,1.820318001360943056e-09
1.995262314968878854e+04,1.820317997787834657e-09
2.511886431509582326e+04,1.820317995997038262e-09
3.162277660168379225e+04,1.820317995099514003e-09
3.981071705534977082e+04,1.820317994649686155e-09
5.011872336272725079e+04,1.820317994424238286e-09
6.309573444801942969e+04,1.820317994311246655e-09
7.943282347242820833e+04,1.820317994254616630e-09
1.000000000000000000e+05,1.820317994226234408e-09
1.258925411794168758e+05,1.820317994212009797e-09
1.584893192461114086e+05,1.820317994204880327e-09
1.995262314968883002e+05,1.820317994201307114e-09
2.511886431509582035e+05,1.820317994199516475e-09
3.162277660168379080e+05,1.820317994198618984e-09
3.981071705534977373e+05,1.820317994198169204e-09
5.011872336272724788e+05,1.820317994197943591e-09
6.309573444801942678e+05,1.820317994197830681e-09
7.943282347242821706e+05,1.820317994197774019e-09
1.000000000000000000e+06,1.820317994197745688e-09
