vin_v,ron_ohm
0.000000000000000000e+00,2.000000000000000000e+02
3.673469387759999844e-02,2.000000009999999975e+02
7.346938775519999687e-02,2.000000009999999975e+02
1.102040816327999884e-01,2.000000009999999975e+02
1.469387755103999937e-01,2.000000009999999975e+02
1.836734693879999991e-01,2.000000009999999975e+02
2.204081632656000045e-01,2.000000010000000259e+02
2.571428571432000099e-01,2.000000009999999691e+02
2.938775510207999875e-01,2.000000009999999975e+02
3.306122448983999651e-01,2.000000010000000259e+02
3.673469387759999427e-01,2.000000010000000259e+02
4.040816326535999203e-01,2.000000010000000259e+02
4.408163265311998980e-01,2.000000010000000259e+02
4.775510204087998756e-01,2.000000009999999691e+02
5.142857142863999087e-01,2.000000009999999691e+02
5.510204081639998863e-01,2.000000009999999975e+02
5.877551020415998639e-01,2.000000009999999691e+02
6.244897959191998416e-01,2.000000009999999975e+02
6.612244897967998192e-01,2.000000009999999975e+02
6.979591836743997968e-01,2.000000009999999975e+02
7.346938775519997744e-01,2.000000009999999975e+02
7.714285714295997520e-01,2.000000009999999975e+02
8.081632653071997296e-01,2.000000010000000259e+02
8.448979591847997073e-01,2.000000009999999975e+02
8.816326530623996849e-01,2.000000010000000259e+02
9.183673469399996625e-01,2.000000009999999975e+02
9.551020408175996401e-01,2.000000009999999975e+02
9.918367346951996177e-01,2.000000009999999975e+02
1.028571428572799595e+00,2.000000009999999975e+02
1.065306122450399684e+00,2.000000009999999975e+02
1.102040816327999773e+00,2.000000009999999975e+02
1.138775510205599861e+00,2.000000009999999975e+02
1.175510204083199950e+00,2.000000009999999975e+02
1.212244897960800039e+00,2.000000009999999691e+02
1.248979591838400127e+00,2.000000009999999975e+02
1.285714285716000216e+00,2.000000010000000259e+02
1.322448979593600304e+00,2.000000009999999975e+02
1.359183673471200393e+00,2.000000009999999975e+02
1.395918367348800482e+00,2.000000009999999975e+02
1.432653061226400570e+00,2.000000009999999975e+02
1.469387755104000659e+00,2.000000010000000259e+02
1.506122448981600748e+00,2.000000009999999975e+02
1.542857142859200836e+00,2.000000009999999975e+02
1.579591836736800925e+00,2.000000010000000259e+02
1.616326530614401014e+00,2.000000009999999975e+02
1.653061224492001102e+00,2.000000009999999691e+02
1.689795918369601191e+00,2.000000009999999975e+02
1.726530612247201280e+00,2.000000010000000259e+02
1.763265306124801368e+00,2.000000009999999691e+02
1.800000000000000044e+00,2.000000009999999975e+02
