frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.093793354942576170e-08
1.258925411794167282e+00,4.530908862166797370e-08
1.584893192461113598e+00,4.020767409752671884e-08
1.995262314968879735e+00,3.554887278732302239e-08
2.511886431509580131e+00,3.125887336461331087e-08
3.162277660168379523e+00,2.728421385303734187e-08
3.981071705534973137e+00,2.360607390971861961e-08
5.011872336272723771e+00,2.025397647562916609e-08
6.309573444801933384e+00,1.730567965814935779e-08
7.943282347242815788e+00,1.485950605911680182e-08
1.000000000000000000e+01,1.298276484318188423e-08
1.258925411794167459e+01,1.166664580634997516e-08
1.584893192461114175e+01,1.082259872954328646e-08
1.995262314968879735e+01,1.032161487079891241e-08
2.511886431509580930e+01,1.004133322632332964e-08
3.162277660168379256e+01,9.890819553374010404e-09
3.981071705534973404e+01,9.812109924659224252e-09
5.011872336272725192e+01,9.771625278284273305e-09
6.309573444801932851e+01,9.751011668146832544e-09
7.943282347242816854e+01,9.740580202288500573e-09
1.000000000000000000e+02,9.735321073102151724e-09
1.258925411794167530e+02,9.732675655610948279e-09
1.584893192461114211e+02,9.731346822439513415e-09
1.995262314968880730e+02,9.730679899468644109e-09
2.511886431509582280e+02,9.730345356385578083e-09
3.162277660168379612e+02,9.730177597030496520e-09
3.981071705534973262e+02,9.730093489783245889e-09
5.011872336272724624e+02,9.730051327390386873e-09
6.309573444801936830e+02,9.730030193335375835e-09
7.943282347242821970e+02,9.730019600335057517e-09
1.000000000000000000e+03,9.730014290980787918e-09
1.258925411794167530e+03,9.730011629912656355e-09
1.584893192461114040e+03,9.730010296191662196e-09
1.995262314968880901e+03,9.730009627739012010e-09
2.511886431509582053e+03,9.730009292716325400e-09
3.162277660168379498e+03,9.730009124806362103e-09
3.981071705534973262e+03,9.730009040651757785e-09
5.011872336272725079e+03,9.730008998474456934e-09
6.309573444801936603e+03,9.730008977335705833e-09
7.943282347242821743e+03,9.730008966741224524e-09
1.000000000000000000e+04,9.730008961431403280e-09
1.258925411794168758e+04,9.730008958770187887e-09
1.584893192461114086e+04,9.730008957436420360e-09
1.995262314968878854e+04,9.730008956767952546e-09
2.511886431509582326e+04,9.730008956432926200e-09
3.162277660168379225e+04,9.730008956265013499e-09
3.981071705534977082e+04,9.730008956180859452e-09
5.011872336272725079e+04,9.730008956138681513e-09
6.309573444801942969e+04,9.730008956117542085e-09
7.943282347242820833e+04,9.730008956106947556e-09
1.000000000000000000e+05,9.730008956101638711e-09
1.258925411794168758e+05,9.730008956098976843e-09
1.584893192461114086e+05,9.730008956097643428e-09
1.995262314968883002e+05,9.730008956096975066e-09
2.511886431509582035e+05,9.730008956096639231e-09
3.162277660168379080e+05,9.730008956096472140e-09
3.981071705534977373e+05,9.730008956096387768e-09
5.011872336272724788e+05,9.730008956096346409e-09
6.309573444801942678e+05,9.730008956096324902e-09
7.943282347242821706e+05,9.730008956096314976e-09
1.000000000000000000e+06,9.730008956096308359e-09
