vin_v,ron_ohm
0.000000000000000000e+00,3.571428571428571558e+03
3.673469387759999844e-02,3.667664658207050252e+03
7.346938775519999687e-02,3.769230756023946924e+03
1.102040816327999884e-01,3.876582264453564676e+03
1.469387755103999937e-01,3.990227998108020074e+03
1.836734693879999991e-01,4.110738239136213451e+03
2.204081632656000045e-01,4.238754308293534450e+03
2.571428571432000099e-01,4.374999981860687512e+03
2.938775510207999875e-01,4.520295183520563114e+03
3.306122448983999651e-01,4.675572498224918490e+03
3.673469387759999427e-01,4.841897210759908376e+03
4.040816326535999203e-01,5.005107253298938303e+03
4.408163265311998980e-01,5.051546392753326472e+03
4.775510204087998756e-01,5.098855360001867666e+03
5.142857142863999087e-01,5.147058824530318816e+03
5.510204081639998863e-01,5.196182397607566600e+03
5.877551020415998639e-01,5.246252677660606423e+03
6.244897959191998416e-01,5.297297298298464739e+03
6.612244897967998192e-01,5.349344979167199199e+03
6.979591836743997968e-01,5.402425579832669428e+03
7.346938775519997744e-01,5.456570156903461793e+03
7.714285714295997520e-01,5.511811024623608319e+03
8.081632653071997296e-01,5.568181819183489097e+03
8.448979591847997073e-01,5.625717567017854890e+03
8.816326530623996849e-01,5.684454757382409298e+03
9.183673469399996625e-01,5.744431419524880766e+03
9.551020408175996401e-01,5.805687204793614910e+03
9.918367346951996177e-01,5.868263474056168889e+03
1.028571428572799595e+00,5.932203390832921286e+03
1.065306122450399684e+00,5.997552020586398612e+03
1.102040816327999773e+00,6.064356436646266047e+03
1.138775510205599861e+00,6.132665833293219293e+03
1.175510204083199950e+00,6.202531646572635509e+03
1.212244897960800039e+00,6.274007683461568377e+03
1.248979591838400127e+00,6.347150260070711738e+03
1.285714285716000216e+00,6.422018349627387579e+03
1.322448979593600304e+00,6.498673741056773906e+03
1.359183673471200393e+00,6.577181209057611341e+03
1.395918367348800482e+00,6.657608696656297070e+03
1.432653061226400570e+00,6.455862936911994439e+03
1.469387755104000659e+00,6.234096654236574068e+03
1.506122448981600748e+00,6.027060235266303607e+03
1.542857142859200836e+00,5.833333300295052140e+03
1.579591836736800925e+00,5.651672402727856934e+03
1.616326530614401014e+00,5.480984310993838335e+03
1.653061224492001102e+00,5.320303990057422197e+03
1.689795918369601191e+00,5.168776345582734393e+03
1.726530612247201280e+00,5.025641001375231099e+03
1.763265306124801368e+00,4.890219537955558735e+03
1.800000000000000044e+00,4.761904740229024355e+03
