frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.163020317604803081e-08
1.258925411794167282e+00,4.608598829840202052e-08
1.584893192461113598e+00,4.108116188774615242e-08
1.995262314968879735e+00,3.653391796897180848e-08
2.511886431509580131e+00,3.237471188658235907e-08
3.162277660168379523e+00,2.855578980334041694e-08
3.981071705534973137e+00,2.506494626256724919e-08
5.011872336272723771e+00,2.193691794189934679e-08
6.309573444801933384e+00,1.924815196700115166e-08
7.943282347242815788e+00,1.708243911258619793e-08
1.000000000000000000e+01,1.547762865194940623e-08
1.258925411794167459e+01,1.439150548362154954e-08
1.584893192461114175e+01,1.371617472092702890e-08
1.995262314968879735e+01,1.332443391875928673e-08
2.511886431509580930e+01,1.310851550238815433e-08
3.162277660168379256e+01,1.299357984358780805e-08
3.981071705534973404e+01,1.293376615251264642e-08
5.011872336272725192e+01,1.290307972127158181e-08
6.309573444801932851e+01,1.288747586871150722e-08
7.943282347242816854e+01,1.287958494639871475e-08
1.000000000000000000e+02,1.287560802877567268e-08
1.258925411794167530e+02,1.287360792985430894e-08
1.584893192461114211e+02,1.287260333782134935e-08
1.995262314968880730e+02,1.287209916914132703e-08
2.511886431509582280e+02,1.287184627273104484e-08
3.162277660168379612e+02,1.287171945716810081e-08
3.981071705534973262e+02,1.287165587771084139e-08
5.011872336272724624e+02,1.287162400584856924e-08
6.309573444801936830e+02,1.287160802998225831e-08
7.943282347242821970e+02,1.287160002242107057e-08
1.000000000000000000e+03,1.287159600892508159e-08
1.258925411794167530e+03,1.287159399734629773e-08
1.584893192461114040e+03,1.287159298914790521e-08
1.995262314968880901e+03,1.287159248384517440e-08
2.511886431509582053e+03,1.287159223059182252e-08
3.162277660168379498e+03,1.287159210366381956e-08
3.981071705534973262e+03,1.287159204004891884e-08
5.011872336272725079e+03,1.287159200816587575e-08
6.309573444801936603e+03,1.287159199218648174e-08
7.943282347242821743e+03,1.287159198417780673e-08
1.000000000000000000e+04,1.287159198016395913e-08
1.258925411794168758e+04,1.287159197815226911e-08
1.584893192461114086e+04,1.287159197714403521e-08
1.995262314968878854e+04,1.287159197663872215e-08
2.511886431509582326e+04,1.287159197638546427e-08
3.162277660168379225e+04,1.287159197625853505e-08
3.981071705534977082e+04,1.287159197619491990e-08
5.011872336272725079e+04,1.287159197616303705e-08
6.309573444801942969e+04,1.287159197614705758e-08
7.943282347242820833e+04,1.287159197613904881e-08
1.000000000000000000e+05,1.287159197613503533e-08
1.258925411794168758e+05,1.287159197613302363e-08
1.584893192461114086e+05,1.287159197613201613e-08
1.995262314968883002e+05,1.287159197613150989e-08
2.511886431509582035e+05,1.287159197613125677e-08
3.162277660168379080e+05,1.287159197613112939e-08
3.981071705534977373e+05,1.287159197613106652e-08
5.011872336272724788e+05,1.287159197613103343e-08
6.309573444801942678e+05,1.287159197613101855e-08
7.943282347242821706e+05,1.287159197613101027e-08
1.000000000000000000e+06,1.287159197613100531e-08
