vin_v,ron_ohm
0.000000000000000000e+00,3.571428571428571558e+03
3.673469387759999844e-02,3.667664671658814768e+03
7.346938775519999687e-02,3.769230770231047245e+03
1.102040816327999884e-01,3.876582279481454862e+03
1.469387755103999937e-01,3.990228014029939914e+03
1.836734693879999991e-01,4.110738256034383085e+03
2.204081632656000045e-01,4.238754326260571361e+03
2.571428571432000099e-01,4.375000001001311830e+03
2.938775510207999875e-01,4.520295203953630335e+03
3.306122448983999651e-01,4.675572520085895121e+03
3.673469387759999427e-01,4.841897234203876906e+03
4.040816326535999203e-01,5.020491804281404256e+03
4.408163265311998980e-01,5.212765958450002472e+03
4.775510204087998756e-01,5.420353983304625217e+03
5.142857142863999087e-01,5.645161291326949140e+03
5.510204081639998863e-01,5.889423077928173370e+03
5.877551020415998639e-01,6.155778895478300001e+03
6.244897959191998416e-01,6.447368422059552358e+03
6.612244897967998192e-01,6.767955802113046957e+03
6.979591836743997968e-01,7.122093024265253916e+03
7.346938775519997744e-01,7.515337424323946834e+03
7.714285714295997520e-01,7.954545455558466529e+03
8.081632653071997296e-01,8.448275863084343655e+03
8.448979591847997073e-01,9.007352942194742354e+03
8.816326530623996849e-01,9.645669292360449617e+03
9.183673469399996625e-01,1.038135593322977547e+04
9.551020408175996401e-01,1.123853211112390272e+04
9.918367346951996177e-01,1.225000000103967795e+04
1.028571428572799595e+00,1.346153846258814701e+04
1.065306122450399684e+00,1.493902439130728271e+04
1.102040816327999773e+00,1.678082191889096066e+04
1.138775510205599861e+00,1.914062500111124609e+04
1.175510204083199950e+00,2.227272727388276326e+04
1.212244897960800039e+00,2.663043478383795082e+04
1.248979591838400127e+00,3.310810810947321443e+04
1.285714285716000216e+00,4.375000000165632082e+04
1.322448979593600304e+00,6.447368421299247711e+04
1.359183673471200393e+00,1.225000000064401247e+05
1.395918367348800482e+00,1.225000000559737906e+06
1.432653061226400570e+00,9.999999985095213623e+11
1.469387755104000659e+00,1.000000000000000000e+12
1.506122448981600748e+00,1.000000000000000000e+12
1.542857142859200836e+00,1.000000000000000000e+12
1.579591836736800925e+00,1.000000000000000000e+12
1.616326530614401014e+00,1.000000000000000000e+12
1.653061224492001102e+00,1.000000000000000000e+12
1.689795918369601191e+00,1.000000000000000000e+12
1.726530612247201280e+00,1.000000000000000000e+12
1.763265306124801368e+00,1.000000000000000000e+12
1.800000000000000044e+00,1.000000000000000000e+12
