vin_v,ron_ohm
0.000000000000000000e+00,1.000000000000000000e+12
3.673469387755102372e-02,1.000000000000000000e+12
7.346938775510204744e-02,1.000000000000000000e+12
1.102040816326530781e-01,1.000000000000000000e+12
1.469387755102040949e-01,1.000000000000000000e+12
1.836734693877551117e-01,1.000000000000000000e+12
2.204081632653061562e-01,1.000000000000000000e+12
2.571428571428571730e-01,1.000000000000000000e+12
2.938775510204081898e-01,1.000000000000000000e+12
3.306122448979592066e-01,1.000000000000000000e+12
3.673469387755102233e-01,1.000000000000000000e+12
4.040816326530612401e-01,1.633333333333335817e+06
4.408163265306123124e-01,1.633333333333331393e+05
4.775510204081633292e-01,8.596491228070169745e+04
5.142857142857143460e-01,5.833333333333331393e+04
5.510204081632653628e-01,4.414414414414412749e+04
5.877551020408163795e-01,3.550724637681158492e+04
6.244897959183673963e-01,2.969696969696968881e+04
6.612244897959184131e-01,2.552083333333332848e+04
6.979591836734694299e-01,2.237442922374428599e+04
7.346938775510204467e-01,1.991869918699186746e+04
7.714285714285714635e-01,1.794871794871794555e+04
8.081632653061224802e-01,1.633333333333333030e+04
8.448979591836734970e-01,1.498470948012232293e+04
8.816326530612246248e-01,1.384180790960451486e+04
9.183673469387756416e-01,1.286089238845143882e+04
9.551020408163266584e-01,1.200980392156862399e+04
9.918367346938776752e-01,1.126436781609195168e+04
1.028571428571428692e+00,1.060606060606060237e+04
1.065306122448979709e+00,1.002044989775050817e+04
1.102040816326530726e+00,9.496124031007750091e+03
1.138775510204081742e+00,9.023941068139960407e+03
1.175510204081632759e+00,8.596491228070173747e+03
1.212244897959183776e+00,8.207705192629813610e+03
1.248979591836734793e+00,7.852564102564100722e+03
1.285714285714285809e+00,7.526881720430106725e+03
1.322448979591836826e+00,7.227138643067845805e+03
1.359183673469387843e+00,6.950354609929076105e+03
1.395918367346938860e+00,6.693989071038250586e+03
1.432653061224489877e+00,6.455862977602108003e+03
1.469387755102040893e+00,6.234096692111958873e+03
1.506122448979591910e+00,6.027060270602705714e+03
1.542857142857142927e+00,5.833333333333333030e+03
1.579591836734693944e+00,5.651672433679354072e+03
1.616326530612244960e+00,5.480984340044742567e+03
1.653061224489795977e+00,5.320304017372421185e+03
1.689795918367346994e+00,5.168776371308016678e+03
1.726530612244898011e+00,5.025641025641025408e+03
1.763265306122449250e+00,4.890219560878241282e+03
1.800000000000000044e+00,4.761904761904761472e+03
